Benchmark                               (rowsNumber)  Mode  Cnt       Score       Error  Units
MatrixSearchBenchmark.alpha_binary                 2  avgt    5       4.381 ±     0.474  ns/op
MatrixSearchBenchmark.alpha_binary                 4  avgt    5       6.537 ±     0.958  ns/op
MatrixSearchBenchmark.alpha_binary                 8  avgt    5      11.205 ±     1.175  ns/op
MatrixSearchBenchmark.alpha_binary                16  avgt    5      16.060 ±     0.921  ns/op
MatrixSearchBenchmark.alpha_binary                32  avgt    5      27.222 ±     0.640  ns/op
MatrixSearchBenchmark.alpha_binary                64  avgt    5      51.734 ±     9.758  ns/op
MatrixSearchBenchmark.alpha_binary               128  avgt    5     127.018 ±    26.434  ns/op
MatrixSearchBenchmark.alpha_binary               256  avgt    5     282.870 ±    81.288  ns/op
MatrixSearchBenchmark.alpha_binary               512  avgt    5     720.189 ±    68.413  ns/op
MatrixSearchBenchmark.alpha_binary              1024  avgt    5    1674.858 ±   264.865  ns/op
MatrixSearchBenchmark.alpha_binary              2048  avgt    5   12140.469 ±  1192.084  ns/op
MatrixSearchBenchmark.alpha_binary              4096  avgt    5   28335.514 ±  2101.804  ns/op
MatrixSearchBenchmark.alpha_binary              8192  avgt    5  464688.315 ± 11773.387  ns/op
MatrixSearchBenchmark.alpha_exp_binary             2  avgt    5       4.265 ±     0.086  ns/op
MatrixSearchBenchmark.alpha_exp_binary             4  avgt    5       6.677 ±     0.715  ns/op
MatrixSearchBenchmark.alpha_exp_binary             8  avgt    5      11.125 ±     0.725  ns/op
MatrixSearchBenchmark.alpha_exp_binary            16  avgt    5      15.885 ±     0.732  ns/op
MatrixSearchBenchmark.alpha_exp_binary            32  avgt    5      26.950 ±     0.964  ns/op
MatrixSearchBenchmark.alpha_exp_binary            64  avgt    5      53.065 ±     6.143  ns/op
MatrixSearchBenchmark.alpha_exp_binary           128  avgt    5     134.529 ±    30.467  ns/op
MatrixSearchBenchmark.alpha_exp_binary           256  avgt    5     305.059 ±    46.003  ns/op
MatrixSearchBenchmark.alpha_exp_binary           512  avgt    5     748.911 ±   138.168  ns/op
MatrixSearchBenchmark.alpha_exp_binary          1024  avgt    5    1679.318 ±   357.924  ns/op
MatrixSearchBenchmark.alpha_exp_binary          2048  avgt    5   12059.840 ±  1136.062  ns/op
MatrixSearchBenchmark.alpha_exp_binary          4096  avgt    5   28527.131 ±  1494.543  ns/op
MatrixSearchBenchmark.alpha_exp_binary          8192  avgt    5  244211.358 ± 17972.513  ns/op
MatrixSearchBenchmark.alpha_linear                 2  avgt    5       4.145 ±     0.152  ns/op
MatrixSearchBenchmark.alpha_linear                 4  avgt    5       6.580 ±     0.741  ns/op
MatrixSearchBenchmark.alpha_linear                 8  avgt    5      10.522 ±     0.622  ns/op
MatrixSearchBenchmark.alpha_linear                16  avgt    5      16.505 ±     0.344  ns/op
